GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.artifact.resolver,OptionalArtifactFilter,15,0,2,0,4,0,4,0,3,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.reporting,HtmlFilter,12,0,0,0,4,0,3,0,3,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.reporting,FitNesseSurefireReport,8,0,0,0,3,0,3,0,3,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.reporting,FitNesseHtmlReport,363,0,18,0,72,0,25,0,16,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.mojo,Launch,278,0,36,0,66,0,36,0,18,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.mojo,TearDownMojo,52,0,0,0,3,0,2,0,2,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.mojo,WikiMojo,169,0,12,0,34,0,11,0,5,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.mojo,ShutdownMojo,20,0,0,0,5,0,2,0,2,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.mojo,AbstractFitNesseMojo,606,0,52,0,118,0,43,0,17,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.mojo,VerifyMojo,268,0,28,0,52,0,21,0,7,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.mojo,AbstractSetupsMojo,28,0,0,0,7,0,2,0,2,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.mojo,SetUpMojo,376,0,6,0,30,0,12,0,9,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.mojo,HelpMojo,875,0,106,0,148,0,69,0,16,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.mojo,RunTestsMojo,197,0,4,0,50,0,23,0,21,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.main,FitNesseMain,328,0,24,0,69,0,22,0,10,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.responders.run,DelegatingResultsListener,223,0,20,0,33,0,21,0,11,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.util,FitNesseHelper,269,0,14,0,56,0,16,0,9,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.util,Utils,236,0,32,0,45,0,22,0,6,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.util,Interrupter,23,0,2,0,10,0,3,0,2,0
FitNesse Launcher Maven Plugin,uk.co.javahelp.maven.plugin.fitnesse.junit,TestHelper,97,0,2,0,25,0,5,0,4,0
